"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde"
1;"H";"Hydrogen";1;1;1;"Non-metal";"Other Non-Metals";"Gas";"1";1;1;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"H2O1";"Óxido de Hidrógeno";"Óxido de Hidrógeno (I)";"Di";"Mono";"DiÓxido de MonoHydrogen"
2;"He";"Helium";2;18;1;"Noble gas";"-";"Gas";"0";1;2;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----"
3;"Li";"Lithium";3;1;2;"Metal";"Alkaline";"Solid";"1";1;3;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Li2O1";"Óxido de Litio";"Óxido de Litio (I)";"Di";"Mono";"DiÓxido de MonoLithium"
4;"Be";"Beryllium";4;2;2;"Metal";"Alkaline earths";"Solid";"2";1;4;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Be1O1";"Óxido de Berilio";"Óxido de Berilio (II)";"Mono";"Mono";"MonoÓxido de MonoBeryllium"
5;"B";"Boron";5;13;2;"Metalloid";"-";"Solid";"3";1;5;1;"3";"III";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"B2O3";"Óxido de Boro";"Óxido de Boro (III)";"Di";"Tri";"DiÓxido de TriBoron"
6;"C";"Carbon";6;14;2;"Non-metal";"Other Non-Metals";"Solid";"2,4";2;6;1;"2";"II";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"C1O1";"Óxido Carbonoso";"Óxido de Carbón (II)";"Mono";"Mono";"MonoÓxido de MonoCarbon"
7;"C";"Carbon";6;14;2;"Non-metal";"Other Non-Metals";"Solid";"2,4";2;7;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"C1O2";"Óxido Carbónico";"Óxido de Carbón (IV)";"Mono";"Di";"MonoÓxido de DiCarbon"
8;"N";"Nitrogen";7;15;2;"Non-metal";"Other Non-Metals";"Gas";"2,3,4,5";4;8;1;"2";"II";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N1O1";"Óxido HipoNitrogenoso";"Óxido de Nitrógeno (II)";"Mono";"Mono";"MonoÓxido de MonoNitrogen"
9;"N";"Nitrogen";7;15;2;"Non-metal";"Other Non-Metals";"Gas";"2,3,4,5";4;9;2;"3";"III";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N2O3";"Óxido Nitrogenoso";"Óxido de Nitrógeno (III)";"Di";"Tri";"DiÓxido de TriNitrogen"
10;"N";"Nitrogen";7;15;2;"Non-metal";"Other Non-Metals";"Gas";"2,3,4,5";4;10;3;"4";"IV";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N1O2";"Óxido Nítrico";"Óxido de Nitrógeno (IV)";"Mono";"Di";"MonoÓxido de DiNitrogen"
